Name,ID,Copy_Number
Mark Hamill,7678906543,1
Carrie Fisher,7678906543,1
Harrison Ford,7678906543,1
Peter Mayhew,7678906543,1
Anthony Daniels,7678906543,1
Kenny Baker,7678906543,1
Alec Guinness,7678906543,1
Frank Oz,7678906543,1
David Prowse,7678906543,1
Peter Cushing,7678906543,1
Larry Ward,7678906543,1
Jeremy Bulloch,7678906543,1
Mark Hamill,7678906543,2
Carrie Fisher,7678906543,2
Harrison Ford,7678906543,2
Peter Mayhew,7678906543,2
Anthony Daniels,7678906543,2
Kenny Baker,7678906543,2
Alec Guinness,7678906543,2
Frank Oz,7678906543,2
David Prowse,7678906543,2
Peter Cushing,7678906543,2
Larry Ward,7678906543,2
Jeremy Bulloch,7678906543,2
Billy Dee Williams,1358594289,1
Billy Dee Williams,1358594289,2
Hayden Christensen,1358594284,3
Ewan McGregor,1358594284,3
Christopher Lee,1358594284,3
Samuel L. Jackson,1358594284,3
Ahmed Best,1358594284,3
Natalie Portman,1358594284,3
Ian McDiarmid,1358594284,3
