Name,ID,Copy_Number,ArtistName
Bad Boy Boogie,686991733,1,AC/DC
Dog Eat Dog,686991733,1,AC/DC
Go Down,686991733,1,AC/DC
Hell Ain't A Bad Place To Be,686991733,1,AC/DC
Let There Be Rock,686991733,1,AC/DC
Overdose,686991733,1,AC/DC
Problem Child,686991733,1,AC/DC
Whole Lotta Rosie,686991733,1,AC/DC
Breaking The Rules,791514619,1,AC/DC
C.O.D.,791514619,1,AC/DC
Evil Walks,791514619,1,AC/DC
For Those About To Rock (We Salute You),791514619,1,AC/DC
Inject The Venom,791514619,1,AC/DC
Let's Get It Up,791514619,1,AC/DC
Night Of The Long Knives,791514619,1,AC/DC
Put The Finger On You,791514619,1,AC/DC
Snowballed,791514619,1,AC/DC
Spellbound,791514619,1,AC/DC
Fast As a Shark,66439137,1,Accept
Princess of the Dawn,66439137,1,Accept
Restless and Wild,66439137,1,Accept
Balls to the Wall,907788477,1,Accept
Amazing,312628398,1,Aerosmith
Angel,312628398,1,Aerosmith
Blind Man,312628398,1,Aerosmith
Crazy,312628398,1,Aerosmith
Cryin',312628398,1,Aerosmith
Deuces Are Wild,312628398,1,Aerosmith
Dude (Looks Like A Lady),312628398,1,Aerosmith
Eat The Rich,312628398,1,Aerosmith
Janie's Got A Gun,312628398,1,Aerosmith
Livin' On The Edge,312628398,1,Aerosmith
Love In An Elevator,312628398,1,Aerosmith
Rag Doll,312628398,1,Aerosmith
The Other Side,312628398,1,Aerosmith
Walk On Water,312628398,1,Aerosmith
What It Takes,312628398,1,Aerosmith
All I Really Want,175952985,1,Alanis Morissette
Forgiven,175952985,1,Alanis Morissette
Hand In My Pocket,175952985,1,Alanis Morissette
Head Over Feet,175952985,1,Alanis Morissette
Ironic,175952985,1,Alanis Morissette
Mary Jane,175952985,1,Alanis Morissette
Not The Doctor,175952985,1,Alanis Morissette
Perfect,175952985,1,Alanis Morissette
Right Through You,175952985,1,Alanis Morissette
Wake Up,175952985,1,Alanis Morissette
You Learn,175952985,1,Alanis Morissette
You Oughta Know,175952985,1,Alanis Morissette
You Oughta Know (Alternate),175952985,1,Alanis Morissette
Bleed The Freak,89544725,1,Alice In Chains
Confusion,89544725,1,Alice In Chains
I Can't Remember,89544725,1,Alice In Chains
I Know Somethin (Bout You),89544725,1,Alice In Chains
It Ain't Like That,89544725,1,Alice In Chains
Man In The Box,89544725,1,Alice In Chains
Put You Down,89544725,1,Alice In Chains
Real Thing,89544725,1,Alice In Chains
Sea Of Sorrow,89544725,1,Alice In Chains
Sunshine,89544725,1,Alice In Chains
We Die Young,89544725,1,Alice In Chains
Back to Black,608821718,1,Amy Winehouse
He Can Only Hold Her,608821718,1,Amy Winehouse
Just Friends,608821718,1,Amy Winehouse
Love Is a Losing Game,608821718,1,Amy Winehouse
Me & Mr. Jones,608821718,1,Amy Winehouse
Rehab,608821718,1,Amy Winehouse
Rehab (Hot Chip Remix),608821718,1,Amy Winehouse
Some Unholy War,608821718,1,Amy Winehouse
Tears Dry On Their Own,608821718,1,Amy Winehouse
Wake Up Alone,608821718,1,Amy Winehouse
You Know I'm No Good,608821718,1,Amy Winehouse
You Know I'm No Good (feat. Ghostface Killah),608821718,1,Amy Winehouse
Angela,695912993,1,Antônio Carlos Jobim
Corcovado (Quiet Nights Of Quiet Stars),695912993,1,Antônio Carlos Jobim
Desafinado,695912993,1,Antônio Carlos Jobim
Dindi (Dindi),695912993,1,Antônio Carlos Jobim
Falando De Amor,695912993,1,Antônio Carlos Jobim
Fotografia,695912993,1,Antônio Carlos Jobim
Garota De Ipanema,695912993,1,Antônio Carlos Jobim
Ligia,695912993,1,Antônio Carlos Jobim
O Boto (Bôto),695912993,1,Antônio Carlos Jobim
Outra Vez,695912993,1,Antônio Carlos Jobim
Por Causa De Você,695912993,1,Antônio Carlos Jobim
Samba De Uma Nota Só (One Note Samba),695912993,1,Antônio Carlos Jobim
