Name,ID,Copy_Number,ArtistName
Bron-Y-Aur Stomp,650878193,1,Led Zeppelin
Celebration Day,650878193,1,Led Zeppelin
Friends,650878193,1,Led Zeppelin
Gallows Pole,650878193,1,Led Zeppelin
Hats Off To (Roy) Harper,650878193,1,Led Zeppelin
Out On The Tiles,650878193,1,Led Zeppelin
Tangerine,650878193,1,Led Zeppelin
Alabama Song,669417473,1,The Doors
Back Door Man,669417473,1,The Doors
Break on Through,669417473,1,The Doors
End Of The Night,669417473,1,The Doors
I Looked At You,669417473,1,The Doors
Light My Fire,669417473,1,The Doors
Soul Kitchen,669417473,1,The Doors
Take It As It Comes,669417473,1,The Doors
The Crystal Ship,669417473,1,The Doors
The End,669417473,1,The Doors
Twentienth Century Fox,669417473,1,The Doors
Communication Breakdown,686621938,1,Led Zeppelin
Communication Breakdown(2),686621938,1,Led Zeppelin
Communication Breakdown(3),686621938,1,Led Zeppelin
Dazed and Confused,686621938,1,Led Zeppelin
How Many More Times,686621938,1,Led Zeppelin
I Can't Quit You Baby,686621938,1,Led Zeppelin
I Can't Quit You Baby(2),686621938,1,Led Zeppelin
Somethin' Else,686621938,1,Led Zeppelin
The Girl I Love She Got Long Black Wavy Hair,686621938,1,Led Zeppelin
Travelling Riverside Blues,686621938,1,Led Zeppelin
What is and Should Never Be,686621938,1,Led Zeppelin
Whole Lotta Love,686621938,1,Led Zeppelin
You Shook Me,686621938,1,Led Zeppelin
You Shook Me(2),686621938,1,Led Zeppelin
Bad Boy Boogie,686991733,1,AC/DC
Dog Eat Dog,686991733,1,AC/DC
Go Down,686991733,1,AC/DC
Hell Ain't A Bad Place To Be,686991733,1,AC/DC
Let There Be Rock,686991733,1,AC/DC
Overdose,686991733,1,AC/DC
Problem Child,686991733,1,AC/DC
Whole Lotta Rosie,686991733,1,AC/DC
By The Way,688071122,1,Red Hot Chili Peppers
Cabron,688071122,1,Red Hot Chili Peppers
Can't Stop,688071122,1,Red Hot Chili Peppers
Don't Forget Me,688071122,1,Red Hot Chili Peppers
Dosed,688071122,1,Red Hot Chili Peppers
I Could Die For You,688071122,1,Red Hot Chili Peppers
Midnight,688071122,1,Red Hot Chili Peppers
Minor Thing,688071122,1,Red Hot Chili Peppers
On Mercury,688071122,1,Red Hot Chili Peppers
Tear,688071122,1,Red Hot Chili Peppers
The Zephyr Song,688071122,1,Red Hot Chili Peppers
This Is The Place,688071122,1,Red Hot Chili Peppers
Throw Away Your Television,688071122,1,Red Hot Chili Peppers
Universally Speaking,688071122,1,Red Hot Chili Peppers
Venice Queen,688071122,1,Red Hot Chili Peppers
Warm Tape,688071122,1,Red Hot Chili Peppers
Angela,695912993,1,Antônio Carlos Jobim
Corcovado (Quiet Nights Of Quiet Stars),695912993,1,Antônio Carlos Jobim
Desafinado,695912993,1,Antônio Carlos Jobim
Dindi (Dindi),695912993,1,Antônio Carlos Jobim
Falando De Amor,695912993,1,Antônio Carlos Jobim
Fotografia,695912993,1,Antônio Carlos Jobim
Garota De Ipanema,695912993,1,Antônio Carlos Jobim
Ligia,695912993,1,Antônio Carlos Jobim
O Boto (Bôto),695912993,1,Antônio Carlos Jobim
Outra Vez,695912993,1,Antônio Carlos Jobim
Por Causa De Você,695912993,1,Antônio Carlos Jobim
Samba De Uma Nota Só (One Note Samba),695912993,1,Antônio Carlos Jobim
Se Todos Fossem Iguais A Você (Instrumental),695912993,1,Antônio Carlos Jobim
Flight Of The Icarus,719036078,1,Iron Maiden
Quest For Fire,719036078,1,Iron Maiden
Still Life,719036078,1,Iron Maiden
Sun And Steel,719036078,1,Iron Maiden
To Tame A Land,719036078,1,Iron Maiden
Where Eagles Dare,719036078,1,Iron Maiden
13 Years Of Grief,720869189,1,Black Label Society
A.N.D.R.O.T.A.Z.,720869189,1,Black Label Society
All For You,720869189,1,Black Label Society
Bored To Tears,720869189,1,Black Label Society
Born To Booze,720869189,1,Black Label Society
Intro/ Low Down,720869189,1,Black Label Society
Lost My Better Half,720869189,1,Black Label Society
No More Tears,720869189,1,Black Label Society
Phoney Smile Fake Hellos,720869189,1,Black Label Society
Stronger Than Death,720869189,1,Black Label Society
Super Terrorizer,720869189,1,Black Label Society
The Begining... At Last,720869189,1,Black Label Society
World Of Trouble,720869189,1,Black Label Society
Cosmic Fiend,723006448,1,The Black Crowes
Cursed Diamonds,723006448,1,The Black Crowes
Girl From A Pawnshop,723006448,1,The Black Crowes
Greasy Grass River,723006448,1,The Black Crowes
Midnight From The Inside Out,723006448,1,The Black Crowes
Miracle To Me,723006448,1,The Black Crowes
Sometimes Salvation,723006448,1,The Black Crowes
Sting Me,723006448,1,The Black Crowes
Thick & Thin,723006448,1,The Black Crowes
Wiser Time,723006448,1,The Black Crowes
Adios nonino,724046399,1,The 12 Cellists of The Berlin Philharmonic
Breaking The Law (Live),726635841,1,Judas Priest
Diamonds And Rust (Live),726635841,1,Judas Priest
Electric Eye,726635841,1,Judas Priest
Freewheel Burning,726635841,1,Judas Priest
Heading Out To The Highway (Live),726635841,1,Judas Priest
Hot Rockin',726635841,1,Judas Priest
Living After Midnight,726635841,1,Judas Priest
Metal Meltdown,726635841,1,Judas Priest
Ram It Down,726635841,1,Judas Priest
Some Heads Are Gonna Roll,726635841,1,Judas Priest
The Green Manalishi,726635841,1,Judas Priest
The Hellion,726635841,1,Judas Priest
Turbo Lover,726635841,1,Judas Priest
Tyrant (Live),726635841,1,Judas Priest
Victim Of Change (Live),726635841,1,Judas Priest
You've Got Another Thing Comin',726635841,1,Judas Priest
Beautiful Day,726668033,1,U2
Elevation,726668033,1,U2
Grace,726668033,1,U2
In A Little While,726668033,1,U2
Kite,726668033,1,U2
New York,726668033,1,U2
Peace On Earth,726668033,1,U2
Stuck In A Moment You Can't Get Out Of,726668033,1,U2
Walk On,726668033,1,U2
When I Look At The World,726668033,1,U2
Wild Honey,726668033,1,U2
Back in the Village,735123103,1,Iron Maiden
Duelists,735123103,1,Iron Maiden
Flash of The Blade,735123103,1,Iron Maiden
Losfer Words,735123103,1,Iron Maiden
Acrobat,736212356,1,U2
Even Better Than The Real Thing,736212356,1,U2
Love Is Blindness,736212356,1,U2
Mysterious Ways,736212356,1,U2
One,736212356,1,U2
So Cruel,736212356,1,U2
The Fly,736212356,1,U2
Tryin' To Throw Your Arms Around The World,736212356,1,U2
Ultraviolet (Light My Way),736212356,1,U2
Until The End Of The World,736212356,1,U2
Who's Gonna Ride Your Wild Horses,736212356,1,U2
Zoo Station,736212356,1,U2
Blues For Pablo,744183074,1,Miles Davis
Blues For Pablo (Alternate Take),744183074,1,Miles Davis
I Don't Wanna Be Kissed (By Anyone But You),744183074,1,Miles Davis
I Don't Wanna Be Kissed (By Anyone But You) (Alternate Take),744183074,1,Miles Davis
Lament,744183074,1,Miles Davis
Miles Ahead,744183074,1,Miles Davis
My Ship,744183074,1,Miles Davis
New Rhumba,744183074,1,Miles Davis
Springsville,744183074,1,Miles Davis
Springsville (Alternate Take),744183074,1,Miles Davis
The Duke,744183074,1,Miles Davis
The Maids Of Cadiz,744183074,1,Miles Davis
The Meaning Of The Blues,744183074,1,Miles Davis
The Meaning Of The Blues/Lament (Alternate Take),744183074,1,Miles Davis
Afraid To Shoot Strangers,763144371,1,Iron Maiden
Be Quick Or Be Dead,763144371,1,Iron Maiden
Can I Play With Madness,763144371,1,Iron Maiden
Fear Of The Dark,763144371,1,Iron Maiden
From Here To Eternity,763144371,1,Iron Maiden
Tailgunner,763144371,1,Iron Maiden
The Evil That Men Do,763144371,1,Iron Maiden
Wasting Love,763144371,1,Iron Maiden
À Francesa,770933084,1,Cláudio Zoli
Amor Demais,770933084,1,Cláudio Zoli
Cada Um Cada Um (A Namoradeira),770933084,1,Cláudio Zoli
Felicidade Urgente,770933084,1,Cláudio Zoli
Férias,770933084,1,Cláudio Zoli
Flor Do Futuro,770933084,1,Cláudio Zoli
Gostava Tanto De Você,770933084,1,Cláudio Zoli
Linha Do Equador,770933084,1,Cláudio Zoli
Livre Pra Viver,770933084,1,Cláudio Zoli
Noite Do Prazer,770933084,1,Cláudio Zoli
Best Of You,785066789,1,Foo Fighters
DOA,785066789,1,Foo Fighters
End Over End,785066789,1,Foo Fighters
Free Me,785066789,1,Foo Fighters
Hell,785066789,1,Foo Fighters
In Your Honor,785066789,1,Foo Fighters
No Way Back,785066789,1,Foo Fighters
Resolve,785066789,1,Foo Fighters
The Deepest Blues Are Black,785066789,1,Foo Fighters
The Last Song,785066789,1,Foo Fighters
Breaking The Rules,791514619,1,AC/DC
C.O.D.,791514619,1,AC/DC
Evil Walks,791514619,1,AC/DC
For Those About To Rock (We Salute You),791514619,1,AC/DC
Inject The Venom,791514619,1,AC/DC
Let's Get It Up,791514619,1,AC/DC
Night Of The Long Knives,791514619,1,AC/DC
Put The Finger On You,791514619,1,AC/DC
Snowballed,791514619,1,AC/DC
Spellbound,791514619,1,AC/DC
High Ball Shooter,792595492,1,Deep Purple
Hold On,792595492,1,Deep Purple
Holy Man,792595492,1,Deep Purple
Love Don't Mean a Thing,792595492,1,Deep Purple
Soldier Of Fortune,792595492,1,Deep Purple
The Gypsy,792595492,1,Deep Purple
You Can't Do it Right (With the One You Love),792595492,1,Deep Purple
Breakfast In Bed,793854178,1,Deep Purple
Fire In The Basement,793854178,1,Deep Purple
Fortuneteller,793854178,1,Deep Purple
King Of Dreams,793854178,1,Deep Purple
Love Conquers All,793854178,1,Deep Purple
The Cut Runs Deep,793854178,1,Deep Purple
Too Much Is Not Enough,793854178,1,Deep Purple
Truth Hurts,793854178,1,Deep Purple
Wicked Ways,793854178,1,Deep Purple
Blue Train,803626461,1,Page & Plant
Burning Up,803626461,1,Page & Plant
Heart In Your Hand,803626461,1,Page & Plant
House Of Love,803626461,1,Page & Plant
Most High,803626461,1,Page & Plant
Please Read The Letter,803626461,1,Page & Plant
Shining In The Light,803626461,1,Page & Plant
Sons Of Freedom,803626461,1,Page & Plant
Upon A Golden Horse,803626461,1,Page & Plant
Walking Into Clarksdale,803626461,1,Page & Plant
When I Was A Child,803626461,1,Page & Plant
When The World Was Young,803626461,1,Page & Plant
Dream Of Mirrors,824489055,1,Iron Maiden
Sanctuary,824489055,1,Iron Maiden
The Clansman,824489055,1,Iron Maiden
Babe I'm Gonna Leave You,832182374,1,Led Zeppelin
Black Mountain Side,832182374,1,Led Zeppelin
Good Times Bad Times,832182374,1,Led Zeppelin
Your Time Is Gonna Come,832182374,1,Led Zeppelin
Crazy Train,835290849,1,Ozzy Osbourne
I Don't Know,835290849,1,Ozzy Osbourne
Evil Ways,842844166,1,Santana
Funky Piano,842844166,1,Santana
Just Ain't Good Enough,842844166,1,Santana
Rock Me,842844166,1,Santana
The Way You Do To Mer,842844166,1,Santana
We've Got To Get Together/Jingo,842844166,1,Santana
Amor De Muito,843541438,1,Chico Science & Nação Zumbi
Baião Ambiental [Instrumental],843541438,1,Chico Science & Nação Zumbi
Corpo De Lama,843541438,1,Chico Science & Nação Zumbi
Criança De Domingo,843541438,1,Chico Science & Nação Zumbi
Enquanto O Mundo Explode,843541438,1,Chico Science & Nação Zumbi
Etnia,843541438,1,Chico Science & Nação Zumbi
Interlude Zumbi,843541438,1,Chico Science & Nação Zumbi
Macô,843541438,1,Chico Science & Nação Zumbi
Manguetown,843541438,1,Chico Science & Nação Zumbi
Maracatu Atômico,843541438,1,Chico Science & Nação Zumbi
Maracatu Atômico [Atomic Version],843541438,1,Chico Science & Nação Zumbi
Maracatu Atômico [Ragga Mix],843541438,1,Chico Science & Nação Zumbi
Maracatu Atômico [Trip Hop],843541438,1,Chico Science & Nação Zumbi
Mateus Enter,843541438,1,Chico Science & Nação Zumbi
O Cidadão Do Mundo,843541438,1,Chico Science & Nação Zumbi
O Encontro De Isaac Asimov Com Santos Dumont No Céu,843541438,1,Chico Science & Nação Zumbi
Quilombo Groove [Instrumental],843541438,1,Chico Science & Nação Zumbi
