Name,ID,Copy_Number
Abraham Eraly,7890679104,1
Adam Smith,9708865787,1
Adolf Hitler,2343711723,1
Albert Camus,4461190923,1
Aldous Huxley,5993836526,1
Alex Rutherford,3877156308,1
Alex Rutherford,7272395090,1
Alex Rutherford,1112568885,1
Alex Rutherford,8438808403,1
Alex Rutherford,2319665682,1
Alfred Stonier,251781415,1
Allen Downey,7967409319,1
Amartya Sen,9821870521,1
Amartya Sen,3941643498,1
Amartya Sen,914131012,1
Amartya Sen,6599176547,1
Amir Aczel,8237158157,1
Amitav Ghosh,7219372783,1
Andrew Tanenbaum,4581627724,1
Andy Oram,1151814614,1
Arthur Conan Doyle,6972023346,1
Arthur Conan Doyle,8568737261,1
Ayn Rand,9120159208,1
Ayn Rand,9981394972,1
Ayn Rand,5365237479,1
Ayn Rand,5527834205,1
Bertrand Russell,5407772421,1
Bertrand Russell,8556319870,1
Bertrand Russell,420974872,1
Bob Dylan,2311510732,1
Bob Woodward,9719764116,1
Bob Woodward,3631895323,1
Carl Sagan,1701234518,1
Cedric Villani,8841184970,1
Charles Dickens,9464575521,1
Dan Brown,2528826609,1
Dan Brown,9753430761,1
David Bodanis,2944800213,1
David Forsyth,8905465947,1
Dominique Lapierre,2438723794,1
Dominique Lapierre,5183637815,1
Dominique Lapierre,3820345472,1
Drew Conway,1904286389,1
E T Bell,6218224710,1
Earle Stanley Gardner,2865965738,1
Edgar Allen Poe,5562144112,1
Edward Said,3103379840,1
Eric Raymond,7994969152,1
Ernest Hemingway,4258683036,1
Frank Kafka,3824515720,1
Frank Shih,7802931411,1
Frederick Forsyth,1542930909,1
Frederick Forsyth,7870557485,1
Frederick Forsyth,9138101043,1
Fritjof Capra,5651239581,1
Fritjof Capra,8597957648,1
Fritjof Capra,45212181,1
Fyodor Dostoevsky,675935837,1
Fyodor Dostoevsky,5419479090,1
Gary Bradsky,6206439207,1
George Orwell,7384927384,1
George Orwell,3332190628,1
George Orwell,1374543234,1
Gerald Durrell,4493607149,1
Gerald Sussman,9666098266,1
H G Wells,866082131,1
H. G. Wells,1095892458,1
Hart Duda,6471661561,1
Hussain Zaidi,4391427763,1
J K Rowling,4300686758,1
Jaideva Goswami,6813822740,1
James Gleick,2773610451,1
Jawaharlal Nehru,7608024737,1
Jean Sassoon,201725963,1
Jeffery Archer,6095965051,1
Jeffery Archer,825378425,1
Jim Corbett,4134980874,1
Joanne K. Rowling,5555555555,1
Joanne K. Rowling,1234567890,1
Joanne K. Rowling,1234567890,2
Joanne K. Rowling,1234567890,3
John Foreman,4362290743,1
John Grisham,2831414360,1
John Pratt,2188206619,1
John Steinbeck,6033567574,1
John Steinbeck,186273782,1
John Steinbeck,3431350763,1
John Steinbeck,7478769200,1
John Steinbeck,1204291732,1
John Steinbeck,1810941106,1
John Steinbeck,2045818144,1
John Steinbeck,8314649959,1
Jonathan Stroud,6424692198,1
Joseph Heller,4132579229,1
Joy Thomas,6412902388,1
Jules Verne,1510394500,1
Keith Devlin,4184035106,1
Ken Follett,9762388395,1
Kuldip Nayar,9812983233,1
Kurt Vonnegut,2425873225,1
Lee Iacoca,9055096067,1
Leonard Mlodinow,4569165699,1
Lorraine Hansberry,2838415921,1
Madan Gupta,8590853676,1
Maria Konnikova,7717116893,1
Michael Baz-Zohar,7124856772,1
Michael Crichton,1329422272,1
Morris West,9300735141,1
Muhammad Rashid,1356515848,1
Nate Silver,8920444747,1
Ned Mohan,3593243980,1
P L Deshpande,7060644917,1
P L Deshpande,6044311752,1
P L Deshpande,9104550505,1
P L Deshpande,7797675333,1
P L Deshpande,9923138394,1
P L Deshpande,3557389036,1
P L Deshpande,5440240358,1
Patrick James Rothfuss,4563153215,1
Patrick James Rothfuss,4563153215,2
