ID,Copy_Number,Name,Year,Length,Audiobook_Flag,Album_Flag,Publisher,Movie_Flag,Director,Game_Flag,Console,Rating,Status,Orders_Number,City,State
1234567890,1,Harry Potter and the Sorcerer's Stone,1997,269,1,0,Bloomsbury,0,,0,,,1,2011,Columbus,Ohio
1234567890,2,Harry Potter and the Sorcerer's Stone,1997,269,1,0,Bloomsbury,0,,0,,,0,2011,Cleveland,Ohio
1234567890,3,Harry Potter and the Sorcerer's Stone,1997,269,1,0,Bloomsbury,0,,0,,,0,2011,Toledo,Ohio
4563153215,1,The Name of the Wind,2007,392,1,0,DAW Books,0,,0,,,1,2011,Chicago,Illinois
4563153215,2,The Name of the Wind,2007,392,1,0,DAW Books,0,,0,,,1,2011,Chicago,Illinois
5555555555,1,Harry Potter and the Order of the Phoenix,2003,777,1,0,Bloomsbury,0,,0,,,1,2011,Memphis,Tennessee
6274894758,1,Coming Up For Air,1984,,1,0,,0,,,,,1,3201,Columbus,Ohio
7384927384,1,Animal Farm,1945,,1,0,,0,,0,,,1,3201,Columbus,Ohio
8463748593,1,The Lightning Theif,2009,,1,0,,0,,0,,,1,3201,Columbus,Ohio
2821115,1,Physical Graffiti [Disc 1],1975,2342,0,1,,,,,,,1,3201,Columbus,Ohio
36545150,1,The Best of Ed Motta,1980,3405,0,1,,,,,,,1,3201,Columbus,Ohio
45635745,1,How To Dismantle An Atomic Bomb,2004,2944,0,1,,,,,,,1,3201,Columbus,Ohio
48455604,1,Led Zeppelin II,1969,2493,0,1,,,,,,,1,3201,Columbus,Ohio
57000878,1,BBC Sessions [Disc 2] [Live],1969,4695,0,1,,,,,,,1,3201,Columbus,Ohio
64694805,1,Blue Moods,1955,4415,0,1,,,,,,,1,3201,Columbus,Ohio
66439137,1,Restless and Wild,1982,857,0,1,,,,,,,1,3201,Columbus,Ohio
70847531,1,Olodum,1979,2868,0,1,,,,,,,1,3201,Columbus,Ohio
