ID,Copy_Number,Name,Year,Length,Audiobook_Flag,Album_Flag,Publisher,Movie_Flag,Director,Game_Flag,Console,Rating,Status,Orders_Number,City,State
736212356,1,Achtung Baby,1991,3322,0,1,,,,,,,,3201,Columbus,Ohio
843541438,1,Afrociberdelia,1994,4229,0,1,,,,,,,,3201,Columbus,Ohio
720869189,1,Alcohol Fueled Brewtality Live! [Disc 1],2000,4054,0,1,,,,,,,,3201,Columbus,Ohio
256564274,1,Alcohol Fueled Brewtality Live! [Disc 2],2000,1445,0,1,,,,,,,,3201,Columbus,Ohio
726668033,1,All That You Can't Leave Behind,2000,2959,0,1,,,,,,,,3201,Columbus,Ohio
105082409,1,American Idiot,2004,3432,0,1,,,,,,,,3201,Columbus,Ohio
401957996,1,Are You Experienced?,1966,3612,0,1,,,,,,,,3201,Columbus,Ohio
303707528,1,Arquivo Os Paralamas Do Sucesso,1982,3609,0,1,,,,,,,,3201,Columbus,Ohio
364346649,1,As Canções de Eu Tu Eles,2000,2880,0,1,,,,,,,,3201,Columbus,Ohio
283301565,1,Audioslave,2007,3921,0,1,,,,,,,,3201,Columbus,Ohio
608821718,1,Back to Black,2006,2538,0,1,,,,,,,,3201,Columbus,Ohio
907788477,1,Balls to the Wall,1984,342,0,1,,,,,,,,3201,Columbus,Ohio
199649151,1,Bark at the Moon (Remastered),1995,257,0,1,,,,,,,,3201,Columbus,Ohio
686621938,1,BBC Sessions [Disc 1] [Live],1969,4482,0,1,,,,,,,,3201,Columbus,Ohio
57000878,1,BBC Sessions [Disc 2] [Live],1969,4695,0,1,,,,,,,,3201,Columbus,Ohio
312628398,1,Big Ones,1994,4403,0,1,,,,,,,,3201,Columbus,Ohio
142139186,1,Black Sabbath,1968,2291,0,1,,,,,,,,3201,Columbus,Ohio
835290849,1,Blizzard of Ozz,1980,607,0,1,,,,,,,,3201,Columbus,Ohio
291637255,1,Blood Sugar Sex Magik,1992,4430,0,1,,,,,,,,3201,Columbus,Ohio
64694805,1,Blue Moods,1955,4415,0,1,,,,,,,,3201,Columbus,Ohio
613866189,1,Bongo Fury,1975,2460,0,1,,,,,,,,3201,Columbus,Ohio
688071122,1,By The Way,2002,4121,0,1,,,,,,,,3201,Columbus,Ohio
430887463,1,Cidade Negra - Hits,1986,3429,0,1,,,,,,,,3201,Columbus,Ohio
193009987,1,Deep Purple In Rock,1969,2533,0,1,,,,,,,,3201,Columbus,Ohio
388270245,1,Emergency On Planet Earth,1993,2783,0,1,,,,,,,,3201,Columbus,Ohio
89544725,1,Facelift,2011,2855,0,1,,,,,,,,3201,Columbus,Ohio
791514619,1,For Those About To Rock We Salute You,1981,2394,0,1,,,,,,,,3201,Columbus,Ohio
90994472,1,From The Muddy Banks Of The Wishkah [Live],1996,3236,0,1,,,,,,,,3201,Columbus,Ohio
924323510,1,Garage Inc. (Disc 1),1998,3940,0,1,,,,,,,,3201,Columbus,Ohio
483730166,1,Garage Inc. (Disc 2),1998,4245,0,1,,,,,,,,3201,Columbus,Ohio
171257550,1,Get Born,2003,2913,0,1,,,,,,,,3201,Columbus,Ohio
101400480,1,Greatest Kiss,1997,4566,0,1,,,,,,,,3201,Columbus,Ohio
236439831,1,Heart of the Night,1996,3491,0,1,,,,,,,,3201,Columbus,Ohio
390423475,1,House of Pain,2011,3147,0,1,,,,,,,,3201,Columbus,Ohio
635142877,1,Houses Of The Holy,1973,2452,0,1,,,,,,,,3201,Columbus,Ohio
45635745,1,How To Dismantle An Atomic Bomb,2004,2944,0,1,,,,,,,,3201,Columbus,Ohio
499440551,1,In Through The Out Door,1978,2552,0,1,,,,,,,,3201,Columbus,Ohio
785066789,1,In Your Honor [Disc 1],2005,2405,0,1,,,,,,,,3201,Columbus,Ohio
212376173,1,In Your Honor [Disc 2],2005,2591,0,1,,,,,,,,3201,Columbus,Ohio
507637467,1,International Superhits,2001,3636,0,1,,,,,,,,3201,Columbus,Ohio
175952985,1,Jagged Little Pill,1995,3444,0,1,,,,,,,,3201,Columbus,Ohio
434743637,1,Kill 'Em All,1988,3076,0,1,,,,,,,,3201,Columbus,Ohio
244940661,1,Koyaanisqatsi (Soundtrack from the Motion Picture),2009,206,0,1,,,,,,,,3201,Columbus,Ohio
832182374,1,Led Zeppelin I,1969,2687,0,1,,,,,,,,3201,Columbus,Ohio
48455604,1,Led Zeppelin II,1969,2493,0,1,,,,,,,,3201,Columbus,Ohio
650878193,1,Led Zeppelin III,1970,2576,0,1,,,,,,,,3201,Columbus,Ohio
686991733,1,Let There Be Rock,1977,2450,0,1,,,,,,,,3201,Columbus,Ohio
723006448,1,Live [Disc 1],1987,3294,0,1,,,,,,,,3201,Columbus,Ohio
977055074,1,Live [Disc 2],2001,2961,0,1,,,,,,,,3201,Columbus,Ohio
395540284,1,Live After Death,1985,5818,0,1,,,,,,,,3201,Columbus,Ohio
763144371,1,Live At Donington 1992 (Disc 1),1992,3102,0,1,,,,,,,,3201,Columbus,Ohio
402370583,1,Live On Two Legs [Live],1998,4048,0,1,,,,,,,,3201,Columbus,Ohio
726635841,1,Living After Midnight,1980,3965,0,1,,,,,,,,3201,Columbus,Ohio
272496799,1,Mais Do Mesmo,1998,4138,0,1,,,,,,,,3201,Columbus,Ohio
438163974,1,Master Of Puppets,1986,3283,0,1,,,,,,,,3201,Columbus,Ohio
744183074,1,Miles Ahead,1957,3127,0,1,,,,,,,,3201,Columbus,Ohio
968497964,1,Minha Historia,2008,7409,0,1,,,,,,,,3201,Columbus,Ohio
516476437,1,Minha História,2008,3122,0,1,,,,,,,,3201,Columbus,Ohio
105656734,1,Misplaced Childhood,1985,2472,0,1,,,,,,,,3201,Columbus,Ohio
507510433,1,MK III The Final Concerts [Disc 1],1975,3482,0,1,,,,,,,,3201,Columbus,Ohio
382233289,1,Morning Dance,1979,2474,0,1,,,,,,,,3201,Columbus,Ohio
592862844,1,Motley Crue Greatest Hits,1998,4154,0,1,,,,,,,,3201,Columbus,Ohio
770933084,1,Na Pista,2014,2555,0,1,,,,,,,,3201,Columbus,Ohio
510101253,1,Nevermind,1991,2550,0,1,,,,,,,,3201,Columbus,Ohio
371280031,1,No Security,1998,4065,0,1,,,,,,,,3201,Columbus,Ohio
70847531,1,Olodum,1979,2868,0,1,,,,,,,,3201,Columbus,Ohio
585563627,1,Out Of Exile,2005,3218,0,1,,,,,,,,3201,Columbus,Ohio
2821115,1,Physical Graffiti [Disc 1],1975,2342,0,1,,,,,,,,3201,Columbus,Ohio
860921730,1,Physical Graffiti [Disc 2],1975,2616,0,1,,,,,,,,3201,Columbus,Ohio
719036078,1,Piece Of Mind,1983,2749,0,1,,,,,,,,3201,Columbus,Ohio
439910151,1,Plays Metallica By Four Cellos,1995,2668,0,1,,,,,,,,3201,Columbus,Ohio
735123103,1,Powerslave,1984,3031,0,1,,,,,,,,3201,Columbus,Ohio
925390332,1,Purpendicular,1995,3742,0,1,,,,,,,,3201,Columbus,Ohio
387317488,1,Quanta Gente Veio Ver (Live),1998,3909,0,1,,,,,,,,3201,Columbus,Ohio
66439137,1,Restless and Wild,1982,857,0,1,,,,,,,,3201,Columbus,Ohio
386700048,1,Retrospective I (1974-1980),1974,4542,0,1,,,,,,,,3201,Columbus,Ohio
328840470,1,Ride The Lightning,2012,2845,0,1,,,,,,,,3201,Columbus,Ohio
648865294,1,Rock In Rio [CD1],1983,3380,0,1,,,,,,,,3201,Columbus,Ohio
824489055,1,Rock In Rio [CD2],1983,3580,0,1,,,,,,,,3201,Columbus,Ohio
184282021,1,Rotten Apples: Greatest Hits,2001,4188,0,1,,,,,,,,3201,Columbus,Ohio
445269703,1,Santana - As Years Go By,1966,4300,0,1,,,,,,,,3201,Columbus,Ohio
842844166,1,Santana Live,1967,4041,0,1,,,,,,,,3201,Columbus,Ohio
487349370,1,Seventh Son of a Seventh Son,1988,2638,0,1,,,,,,,,3201,Columbus,Ohio
793854178,1,Slaves And Masters,1990,2810,0,1,,,,,,,,3201,Columbus,Ohio
724046399,1,South American Getaway,1972,289,0,1,,,,,,,,3201,Columbus,Ohio
792595492,1,Stormbringer,1961,2191,0,1,,,,,,,,3201,Columbus,Ohio
180181588,1,Synkronized,1999,3174,0,1,,,,,,,,3201,Columbus,Ohio
961131853,1,Temple of the Dog,1991,3312,0,1,,,,,,,,3201,Columbus,Ohio
863925983,1,The Battle Rages On,1992,3013,0,1,,,,,,,,3201,Columbus,Ohio
36545150,1,The Best of Ed Motta,1980,3405,0,1,,,,,,,,3201,Columbus,Ohio
348635359,1,The Best Of Men At Work,1981,2600,0,1,,,,,,,,3201,Columbus,Ohio
387126252,1,The Best Of R.E.M.: The IRS Years,1982,3562,0,1,,,,,,,,3201,Columbus,Ohio
298777722,1,The Colour And The Shape,1996,2561,0,1,,,,,,,,3201,Columbus,Ohio
243130979,1,The Cream Of Clapton,1987,4363,0,1,,,,,,,,3201,Columbus,Ohio
669417473,1,The Doors,1965,2665,0,1,,,,,,,,3201,Columbus,Ohio
418060789,1,The Final Concerts (Disc 2),2006,3726,0,1,,,,,,,,3201,Columbus,Ohio
953801211,1,The Return Of The Space Cowboy,1994,3962,0,1,,,,,,,,3201,Columbus,Ohio
121692047,1,The X Factor,2005,4262,0,1,,,,,,,,3201,Columbus,Ohio
73448015,1,UB40 The Best Of - Volume Two [UK],1978,3517,0,1,,,,,,,,3201,Columbus,Ohio
370084652,1,Unplugged [Live],1994,3086,0,1,,,,,,,,3201,Columbus,Ohio
570566445,1,Van Halen,1974,2129,0,1,,,,,,,,3201,Columbus,Ohio
192453425,1,Van Halen III,1998,3916,0,1,,,,,,,,3201,Columbus,Ohio
175220059,1,Vault: Def Leppard's Greatest Hits,1995,4394,0,1,,,,,,,,3201,Columbus,Ohio
803626461,1,Walking Into Clarksdale,2007,3643,0,1,,,,,,,,3201,Columbus,Ohio
695912993,1,Warner 25 Anos,1968,2628,0,1,,,,,,,,3201,Columbus,Ohio
