Name,Number,ID,Copy_Number
The Boy Who Lived,1,1234567890,1
The Vanishing Glass,2,1234567890,1
The Letters From No One,3,1234567890,1
The Keeper of Keys,4,1234567890,1
Diagon Alley,5,1234567890,1
The Journey from Platform Nine and Three-Quarters,6,1234567890,1
The Sorting Hat,7,1234567890,1
The Potions Master,8,1234567890,1
The Midnight Duel,9,1234567890,1
Hallowe'en,10,1234567890,1
A Place for Demons,1,4563153215,1
A Beautiful Day,2,4563153215,1
Wood and Word,3,4563153215,1
Halfway to Newarre,4,4563153215,1
Notes,5,4563153215,1
The Price of Remembering,6,4563153215,1
Of Beginnings and the Names of Things,7,4563153215,1
"Thieves, Heretics, and Whores",8,4563153215,1
Riding in the Wagon with Ben,9,4563153215,1
Alar and Several Stones,10,4563153215,1
The Boy Who Lived,1,1234567890,2
The Vanishing Glass,2,1234567890,2
The Letters From No One,3,1234567890,2
The Keeper of Keys,4,1234567890,2
Diagon Alley,5,1234567890,2
The Journey from Platform Nine and Three-Quarters,6,1234567890,2
The Sorting Hat,7,1234567890,2
The Potions Master,8,1234567890,2
The Midnight Duel,9,1234567890,2
Hallowe'en,10,1234567890,2
A Place for Demons,1,4563153215,2
A Beautiful Day,2,4563153215,2
Wood and Word,3,4563153215,2
Halfway to Newarre,4,4563153215,2
Notes,5,4563153215,2
The Price of Remembering,6,4563153215,2
Of Beginnings and the Names of Things,7,4563153215,2
"Thieves, Heretics, and Whores",8,4563153215,2
Riding in the Wagon with Ben,9,4563153215,2
Alar and Several Stones,10,4563153215,2
The Boy Who Lived,1,1234567890,3
The Vanishing Glass,2,1234567890,3
The Letters From No One,3,1234567890,3
The Keeper of Keys,4,1234567890,3
Diagon Alley,5,1234567890,3
The Journey from Platform Nine and Three-Quarters,6,1234567890,3
The Sorting Hat,7,1234567890,3
The Potions Master,8,1234567890,3
The Midnight Duel,9,1234567890,3
Hallowe'en,10,1234567890,3
I Accidentally Vaporize My Pre-Algebra Teacher,1,8463748593,1
Three Old Ladies Knit the Socks of Death,2,8463748593,1
Grover Unexpectedly Loses His Pants,3,8463748593,1
My Mother Teaches Me Bullfighting,4,8463748593,1
I Play Pinochle with a Horse,5,8463748593,1
I Become Supreme Lord of the Bathroom,6,8463748593,1
My Dinner Goes Up in Smoke,7,8463748593,1
We Capture a Flag,8,8463748593,1
I Am Offered a Quest,9,8463748593,1
I Ruin a Perfectly Good Bus,10,8463748593,1
We Visit the Garden Gnome Emporium,11,8463748593,1
We Get Advice From a Poodle,12,8463748593,1
I Plunge to My Death,13,8463748593,1
I Become a Known Fugitive,14,8463748593,1
A God Buys Us Cheeseburgers,15,8463748593,1
We Take a Zebra to Vegas,16,8463748593,1
We Shop for Water Beds,17,8463748593,1
Annabeth Does Obedience School,18,8463748593,1
We Find Out the Truth,19,8463748593,1
I Battle My Jerk Relative ,20,8463748593,1
I Settle My Tab,21,8463748593,1
The Prophecy Comes True,22,8463748593,1
Chapter I,1,7384927384,1
Chapter II,2,7384927384,1
Chapter III,3,7384927384,1
Chapter IV,4,7384927384,1
Chapter V,5,7384927384,1
Chapter VI,6,7384927384,1
Chapter VII,7,7384927384,1
Chapter VIII,8,7384927384,1
Chapter IX,9,7384927384,1
Chapter X,10,7384927384,1
Part I,1,6274894758,1
Part II,2,6274894758,1
Part III,3,6274894758,1
Part IV,4,6274894758,1
