Name,ID,Copy_Number,ArtistName
Vital E Sua Moto,303707528,1,Os Paralamas Do Sucesso
Amazing,312628398,1,Aerosmith
Angel,312628398,1,Aerosmith
Blind Man,312628398,1,Aerosmith
Crazy,312628398,1,Aerosmith
Cryin',312628398,1,Aerosmith
Deuces Are Wild,312628398,1,Aerosmith
Dude (Looks Like A Lady),312628398,1,Aerosmith
Eat The Rich,312628398,1,Aerosmith
Janie's Got A Gun,312628398,1,Aerosmith
Livin' On The Edge,312628398,1,Aerosmith
Love In An Elevator,312628398,1,Aerosmith
Rag Doll,312628398,1,Aerosmith
The Other Side,312628398,1,Aerosmith
Walk On Water,312628398,1,Aerosmith
What It Takes,312628398,1,Aerosmith
Escape,328840470,1,Metallica
Fade To Black,328840470,1,Metallica
Fight Fire With Fire,328840470,1,Metallica
For Whom The Bell Tolls,328840470,1,Metallica
Ride The Lightning,328840470,1,Metallica
The Call Of Ktulu,328840470,1,Metallica
Trapped Under Ice,328840470,1,Metallica
Be Good Johnny,348635359,1,Men At Work
Down by the Sea,348635359,1,Men At Work
Down Under,348635359,1,Men At Work
Dr. Heckyll & Mr. Jive,348635359,1,Men At Work
Everything I Need,348635359,1,Men At Work
It's a Mistake,348635359,1,Men At Work
No Sign of Yesterday,348635359,1,Men At Work
Shakes and Ladders,348635359,1,Men At Work
Who Can It Be Now?,348635359,1,Men At Work
A Volta Da Asa Branca,364346649,1,Gilberto Gil
As Pegadas Do Amor,364346649,1,Gilberto Gil
Asa Branca,364346649,1,Gilberto Gil
Assum Preto,364346649,1,Gilberto Gil
Baião Da Penha,364346649,1,Gilberto Gil
Casinha Feliz,364346649,1,Gilberto Gil
Esperando Na Janela,364346649,1,Gilberto Gil
Juazeiro,364346649,1,Gilberto Gil
Lamento Sertanejo,364346649,1,Gilberto Gil
O Amor Daqui De Casa,364346649,1,Gilberto Gil
Óia Eu Aqui De Novo,364346649,1,Gilberto Gil
Pau-De-Arara,364346649,1,Gilberto Gil
Qui Nem Jiló,364346649,1,Gilberto Gil
Último Pau-De-Arara,364346649,1,Gilberto Gil
A World Without Heroes,370084652,1,Kiss
Comin' Home,370084652,1,Kiss
Domino,370084652,1,Kiss
Every Time I Look At You,370084652,1,Kiss
I Still Love You,370084652,1,Kiss
Nothin' To Lose,370084652,1,Kiss
Rock Bottom,370084652,1,Kiss
See You Tonight,370084652,1,Kiss
Corinna,371280031,1,The Rolling Stones
Flip The Switch,371280031,1,The Rolling Stones
Gimmie Shelters,371280031,1,The Rolling Stones
Live With Me,371280031,1,The Rolling Stones
Memory Motel,371280031,1,The Rolling Stones
Out Of Control,371280031,1,The Rolling Stones
Respectable,371280031,1,The Rolling Stones
Saint Of Me,371280031,1,The Rolling Stones
Sister Morphine,371280031,1,The Rolling Stones
The Last Time,371280031,1,The Rolling Stones
Thief In The Night,371280031,1,The Rolling Stones
Wainting On A Friend,371280031,1,The Rolling Stones
You Got Me Rocking,371280031,1,The Rolling Stones
End Of Romanticism,382233289,1,Spyro Gyra
Heliopolis,382233289,1,Spyro Gyra
It Doesn't Matter,382233289,1,Spyro Gyra
Jubilee,382233289,1,Spyro Gyra
Little Linda,382233289,1,Spyro Gyra
Morning Dance,382233289,1,Spyro Gyra
Rasul,382233289,1,Spyro Gyra
Song For Lorraine,382233289,1,Spyro Gyra
Starburst,382233289,1,Spyro Gyra
2112 Overture,386700048,1,Rush
Anthem,386700048,1,Rush
Bastille Day,386700048,1,Rush
By-Tor And The Snow Dog,386700048,1,Rush
Closer To The Heart,386700048,1,Rush
Finding My Way,386700048,1,Rush
Fly By Night,386700048,1,Rush
Freewill,386700048,1,Rush
La Villa Strangiato,386700048,1,Rush
Something For Nothing,386700048,1,Rush
The Spirit Of Radio,386700048,1,Rush
The Temples Of Syrinx,386700048,1,Rush
The Trees,386700048,1,Rush
Xanadu,386700048,1,Rush
Can't Get There From Here,387126252,1,R.E.M.
Carnival Of Sorts,387126252,1,R.E.M.
Cuyahoga,387126252,1,R.E.M.
Don't Go Back To Rockville,387126252,1,R.E.M.
Driver 8,387126252,1,R.E.M.
Fall On Me,387126252,1,R.E.M.
Green Grow The Rushes,387126252,1,R.E.M.
I Believe,387126252,1,R.E.M.
It's The End Of The World As We Know It (And I Feel Fine),387126252,1,R.E.M.
Perfect Circle,387126252,1,R.E.M.
Pretty Persuasion,387126252,1,R.E.M.
Radio Free Aurope,387126252,1,R.E.M.
So Central Rain,387126252,1,R.E.M.
Talk About The Passion,387126252,1,R.E.M.
The Finest Worksong,387126252,1,R.E.M.
The One I Love,387126252,1,R.E.M.
A Novidade (Live),387317488,1,Gilberto Gil
Cérebro Eletrônico (Live),387317488,1,Gilberto Gil
Copacabana (Live),387317488,1,Gilberto Gil
De Ouro E Marfim (Live),387317488,1,Gilberto Gil
Estrela (Live),387317488,1,Gilberto Gil
Ghandi (Live),387317488,1,Gilberto Gil
Introdução (Live),387317488,1,Gilberto Gil
Is This Love (Live),387317488,1,Gilberto Gil
Opachorô (Live),387317488,1,Gilberto Gil
Palco (Live),387317488,1,Gilberto Gil
Pela Internet (Live),387317488,1,Gilberto Gil
Quanta (Live),387317488,1,Gilberto Gil
Refavela (Live),387317488,1,Gilberto Gil
Stir It Up (Live),387317488,1,Gilberto Gil
Vendedor De Caranguejo (Live),387317488,1,Gilberto Gil
Blow Your Mind,388270245,1,Jamiroquai
Didgin' Out,388270245,1,Jamiroquai
Emergency On Planet Earth,388270245,1,Jamiroquai
Hooked Up,388270245,1,Jamiroquai
Music Of The Wind,388270245,1,Jamiroquai
Revolution 1993,388270245,1,Jamiroquai
Too Young To Die,388270245,1,Jamiroquai
When You Gonna Learn (Digeridoo),388270245,1,Jamiroquai
All My Love,390423475,1,House Of Pain
Come And Get Some Of This,390423475,1,House Of Pain
Commercial 1,390423475,1,House Of Pain
Commercial 2,390423475,1,House Of Pain
Feel It,390423475,1,House Of Pain
Guess Who's Back,390423475,1,House Of Pain
House And The Rising Sun,390423475,1,House Of Pain
House Of Pain Anthem,390423475,1,House Of Pain
Jump Around,390423475,1,House Of Pain
Jump Around (Pete Rock Remix),390423475,1,House Of Pain
Life Goes On,390423475,1,House Of Pain
One For The Road,390423475,1,House Of Pain
Put On Your Shit Kickers,390423475,1,House Of Pain
Put Your Head Out,390423475,1,House Of Pain
Salutations,390423475,1,House Of Pain
Shamrocks And Shenanigans,390423475,1,House Of Pain
Shamrocks And Shenanigans (Boom Shalock Lock Boom/Butch Vig Mix),390423475,1,House Of Pain
Top O' The Morning To Ya,390423475,1,House Of Pain
2 Minutes To Midnight,395540284,1,Iron Maiden
Acacia Avenue,395540284,1,Iron Maiden
Aces High,395540284,1,Iron Maiden
Children Of The Damned,395540284,1,Iron Maiden
Die With Your Boots On,395540284,1,Iron Maiden
Flight Of Icarus,395540284,1,Iron Maiden
Hallowed Be Thy Name,395540284,1,Iron Maiden
Intro- Churchill S Speech,395540284,1,Iron Maiden
Iron Maiden,395540284,1,Iron Maiden
Phantom Of The Opera,395540284,1,Iron Maiden
Powerslave,395540284,1,Iron Maiden
Revelations,395540284,1,Iron Maiden
Rime Of The Ancient Mariner,395540284,1,Iron Maiden
Run To The Hills,395540284,1,Iron Maiden
Running Free,395540284,1,Iron Maiden
The Number Of The Beast,395540284,1,Iron Maiden
The Trooper,395540284,1,Iron Maiden
Wrathchild,395540284,1,Iron Maiden
51st Anniversary,401957996,1,Jimi Hendrix
Are You Experienced?,401957996,1,Jimi Hendrix
Can You See Me,401957996,1,Jimi Hendrix
Fire,401957996,1,Jimi Hendrix
Foxy Lady,401957996,1,Jimi Hendrix
Hey Joe,401957996,1,Jimi Hendrix
Highway Chile,401957996,1,Jimi Hendrix
I Don't Live Today,401957996,1,Jimi Hendrix
Love Or Confusion,401957996,1,Jimi Hendrix
Manic Depression,401957996,1,Jimi Hendrix
May This Be Love,401957996,1,Jimi Hendrix
Purple Haze,401957996,1,Jimi Hendrix
Red House,401957996,1,Jimi Hendrix
Remember,401957996,1,Jimi Hendrix
Stone Free,401957996,1,Jimi Hendrix
The Wind Cries Mary,401957996,1,Jimi Hendrix
Third Stone From The Sun,401957996,1,Jimi Hendrix
Better Man,402370583,1,Pearl Jam
Black,402370583,1,Pearl Jam
Corduroy,402370583,1,Pearl Jam
Daughter,402370583,1,Pearl Jam
Do The Evolution,402370583,1,Pearl Jam
Elderly Woman Behind The Counter In A Small Town,402370583,1,Pearl Jam
Even Flow,402370583,1,Pearl Jam
F*Ckin' Up,402370583,1,Pearl Jam
Given To Fly,402370583,1,Pearl Jam
Go,402370583,1,Pearl Jam
MFC,402370583,1,Pearl Jam
Nothingman,402370583,1,Pearl Jam
Off He Goes,402370583,1,Pearl Jam
Red Mosquito,402370583,1,Pearl Jam
Untitled,402370583,1,Pearl Jam
Going Down / Highway Star,418060789,1,Deep Purple
Mistreated (Alternate Version),418060789,1,Deep Purple
Space Truckin',418060789,1,Deep Purple
You Fool No One (Alternate Version),418060789,1,Deep Purple
A Cor Do Sol,430887463,1,Cidade Negra
A Estrada,430887463,1,Cidade Negra
A Sombra Da Maldade,430887463,1,Cidade Negra
Doutor,430887463,1,Cidade Negra
Downtown,430887463,1,Cidade Negra
Eu Também Quero Beijar,430887463,1,Cidade Negra
Falar A Verdade,430887463,1,Cidade Negra
Firmamento,430887463,1,Cidade Negra
Na Frente Da TV,430887463,1,Cidade Negra
O Erê,430887463,1,Cidade Negra
Onde Você Mora?,430887463,1,Cidade Negra
Pensamento,430887463,1,Cidade Negra
Realidade Virtual,430887463,1,Cidade Negra
Sábado A Noite,430887463,1,Cidade Negra
(Anesthesia) Pulling Teeth,434743637,1,Metallica
Hit The Lights,434743637,1,Metallica
Jump In The Fire,434743637,1,Metallica
Metal Militia,434743637,1,Metallica
Motorbreath,434743637,1,Metallica
No Remorse,434743637,1,Metallica
Phantom Lord,434743637,1,Metallica
Seek & Destroy,434743637,1,Metallica
The Four Horsemen,434743637,1,Metallica
Whiplash,434743637,1,Metallica
Battery,438163974,1,Metallica
Damage Inc.,438163974,1,Metallica
Disposable Heroes,438163974,1,Metallica
Leper Messiah,438163974,1,Metallica
Master Of Puppets,438163974,1,Metallica
Orion,438163974,1,Metallica
The Thing That Should Not Be,438163974,1,Metallica
Welcome Home (Sanitarium),438163974,1,Metallica
Creeping Death,439910151,1,Apocalyptica
Enter Sandman,439910151,1,Apocalyptica
Harvester Of Sorrow,439910151,1,Apocalyptica
Sad But True,439910151,1,Apocalyptica
The Unforgiven,439910151,1,Apocalyptica
Wherever I May Roam,439910151,1,Apocalyptica
As The Years Go by,445269703,1,Santana
El Corazon Manda,445269703,1,Santana
Fried Neckbones And Home Fries,445269703,1,Santana
Jingo,445269703,1,Santana
La Puesta Del Sol,445269703,1,Santana
Persuasion,445269703,1,Santana
Santana Jam,445269703,1,Santana
Soul Sacrifice,445269703,1,Santana
Am I Evil?,483730166,1,Metallica
Blitzkrieg,483730166,1,Metallica
Breadfan,483730166,1,Metallica
Crash Course In Brain Surgery,483730166,1,Metallica
Damage Case,483730166,1,Metallica
Helpless,483730166,1,Metallica
Killing Time,483730166,1,Metallica
Last Caress/Green Hell,483730166,1,Metallica
Overkill,483730166,1,Metallica
So What,483730166,1,Metallica
Stone Cold Crazy,483730166,1,Metallica
Stone Dead Forever,483730166,1,Metallica
The Prince,483730166,1,Metallica
The Small Hours,483730166,1,Metallica
The Wait,483730166,1,Metallica
Too Late Too Late,483730166,1,Metallica
Infinite Dreams,487349370,1,Iron Maiden
Moonchild,487349370,1,Iron Maiden
Only the Good Die Young,487349370,1,Iron Maiden
Seventh Son of a Seventh Son,487349370,1,Iron Maiden
The Clairvoyant,487349370,1,Iron Maiden
The Prophecy,487349370,1,Iron Maiden
Carouselambra,499440551,1,Led Zeppelin
Fool In The Rain,499440551,1,Led Zeppelin
Hot Dog,499440551,1,Led Zeppelin
I'm Gonna Crawl,499440551,1,Led Zeppelin
In The Evening,499440551,1,Led Zeppelin
South Bound Saurez,499440551,1,Led Zeppelin
Burn,507510433,1,Deep Purple
Lady Double Dealer,507510433,1,Deep Purple
Mistreated,507510433,1,Deep Purple
Smoke On The Water,507510433,1,Deep Purple
Stormbringer,507510433,1,Deep Purple
You Fool No One,507510433,1,Deep Purple
Basket Case,507637467,1,Green Day
Brain Stew,507637467,1,Green Day
Geek Stink Breath,507637467,1,Green Day
